timestamp,open,high,low,close,volume
2026-03-10 12:05:00+00:00,399.75,399.75,399.75,399.75,80.0
2026-03-10 12:12:00+00:00,399.87,399.87,399.87,399.87,70.0
2026-03-10 12:14:00+00:00,400.02,400.02,400.02,400.02,100.0
2026-03-10 12:44:00+00:00,400.57,400.57,400.57,400.57,40.0
2026-03-10 12:47:00+00:00,401.13,401.13,401.13,401.13,50.0
2026-03-10 13:06:00+00:00,401.22,401.22,401.22,401.22,40.0
2026-03-10 13:11:00+00:00,401.3,401.3,401.3,401.3,80.0
2026-03-10 13:22:00+00:00,401.24,401.24,401.24,401.24,85.0
2026-03-10 13:30:00+00:00,402.05,404.26,401.27,403.895,6935.0
2026-03-10 13:31:00+00:00,404.27,404.6,403.125,403.52,7077.0
2026-03-10 13:32:00+00:00,403.98,405.55,403.93,405.35,6291.0
2026-03-10 13:33:00+00:00,405.42,405.55,403.87,404.09,7192.0
2026-03-10 13:34:00+00:00,404.125,404.59,403.84,404.16,2346.0
2026-03-10 13:35:00+00:00,403.94,404.04,402.34,402.55,2446.0
2026-03-10 13:36:00+00:00,402.36,403.74,402.36,403.12,3799.0
2026-03-10 13:37:00+00:00,403.2,403.3,402.46,402.81,1749.0
2026-03-10 13:38:00+00:00,403.035,403.29,402.575,402.69,2718.0
2026-03-10 13:39:00+00:00,402.76,403.17,402.39,402.9,2225.0
2026-03-10 13:40:00+00:00,402.57,403.41,402.57,402.93,3587.0
2026-03-10 13:41:00+00:00,402.88,403.76,402.69,403.58,3925.0
2026-03-10 13:42:00+00:00,403.63,403.74,402.82,402.82,2528.0
2026-03-10 13:43:00+00:00,402.86,403.14,401.87,401.985,994.0
2026-03-10 13:44:00+00:00,401.95,403.53,401.91,403.53,2282.0
2026-03-10 13:45:00+00:00,403.6,403.69,402.95,403.32,3261.0
2026-03-10 13:46:00+00:00,403.43,404.09,403.32,403.9,2134.0
2026-03-10 13:47:00+00:00,403.905,403.905,402.95,402.99,1767.0
2026-03-10 13:48:00+00:00,403.015,403.17,402.37,402.38,2075.0
2026-03-10 13:49:00+00:00,402.37,403.51,401.73,403.48,3760.0
2026-03-10 13:50:00+00:00,403.93,404.37,403.61,404.3,2744.0
2026-03-10 13:51:00+00:00,404.26,405.11,404.25,404.71,2883.0
2026-03-10 13:52:00+00:00,404.58,405.69,404.58,405.52,2390.0
2026-03-10 13:53:00+00:00,405.41,406.45,405.16,406.45,4284.0
2026-03-10 13:54:00+00:00,406.36,406.5,405.835,405.84,1826.0
2026-03-10 13:55:00+00:00,405.58,405.95,405.19,405.95,1162.0
2026-03-10 13:56:00+00:00,406.02,406.095,405.79,406.095,1415.0
2026-03-10 13:57:00+00:00,406.08,406.545,405.68,406.36,1602.0
